region,wavelength_source,fft_confidence,incip_real,l0_m,Qr_m2s,t0_years,intermittency_frac,modern_used,W_modern_l0,age_power_years,age_linear_years,age_geomean_years,age_floor_years,flagged_W_gt_5000,linear_unphysical
Chad,fft,high,17.83232197,0.41060862488199124,6.89e-07,0.028764325094126075,0.08591849148,1909.8,4651.144384872276,2948667241463.112,18404909.268822994,7366814307.628445,385758.9796617992,False,False
Chad,fft,high,18.43458189,0.424476315135048,6.25e-07,0.031709791983764585,0.07401916058,2024.0,4768.22835063497,4265802700863.097,24158575.2156355,10151636094.928846,493625.6703386156,False,False
Chad,fft,high,19.94933332,0.459355115706095,4.91e-07,0.040363788166706445,0.04250304135999999,1909.8,4157.567717656441,4807882801663.981,46533372.23899022,14957506479.733486,1094259.7116561022,False,False
Chad,fft,high,20.24804388,0.46623325151396533,4.68e-07,0.04234747861079672,0.0334169708,1604.3,3440.981514704224,2521907495327.591,51100667.905360386,11352143295.72942,1460188.6798659088,False,False
Chad,fft,high,20.49134133,0.4718354401436828,4.5e-07,0.044041377755228595,0.020453163019999998,1199.9,2543.047634646961,963289066605.9854,63421320.47007828,7816205255.655764,2481126.548839898,False,False
Chad,fft,high,16.25767388,0.3743506385134357,8.95e-07,0.022143709485869124,0.12728102189999999,1132.2,3024.437208110611,183131170133.1495,6138066.271845038,1060222268.5445728,200463.45939908485,False,False
Chad,fft,high,16.33504359,0.3761321603076286,8.83e-07,0.022444643250116497,0.12112226279999999,846.8,2251.336336960457,45432815732.71109,4803447.028072938,467155352.86270297,213519.3458324532,False,False
Chad,fft,high,16.4818507,0.379512553823482,8.62e-07,0.02299143850330959,0.1155337591,846.8,2231.283238113545,46683036844.71354,5110164.78795156,488424007.47557485,229300.88955204608,False,False
Chad,fft,high,16.09551747,0.3706168106564738,9.21e-07,0.021518588479753385,0.1455672141,846.8,2284.8396933211493,38984884787.56356,3891862.366669377,389517401.3746499,170332.96600420203,False,False
Chad,fft,high,16.53502549,0.3807369612470929,8.54e-07,0.02320681497640851,0.09234336983000001,1347.7,3539.714125956271,575068276264.3375,10434277.184420958,2449575839.7137384,289573.1696138765,False,False
Chad,fft,high,16.94831845,0.39025348154459,7.97e-07,0.024866524454018653,0.08911192214,1700.3,4356.91180324736,1780136590907.7493,14346700.08159525,5053621055.641874,321534.64654616744,False,False
Chad,fft,high,16.59138955,0.3820348050841603,8.46e-07,0.023426264763419462,0.1026840024,1199.9,3140.8133081897295,289341944565.2417,8370487.223859523,1556256100.4892564,262874.68075254763,False,False
Chad,fft,high,16.13386531,0.3714998114163347,9.15e-07,0.021659693977981273,0.1236313869,1428.4,3844.9548454796172,603036231362.4476,7921467.180434049,2185619297.8993993,201870.1353596119,False,False
Chad,fft,high,16.04157672,0.36937476617007065,9.29e-07,0.021333283089185,0.1282314477,846.8,2292.5226018555613,44607214561.322296,4395436.945726644,442795888.56355876,191695.38174126646,False,False
Chad,fft,high,16.03439717,0.3692094492159616,9.3e-07,0.02131034407511061,0.1280033455,1513.8,4100.111747450248,786902105819.0421,8041783.625404301,2515570803.8876057,191830.4918885729,False,False
Chad,fft,high,16.07973874,0.3702534882221557,9.23e-07,0.021471960985756083,0.1225288929,1199.9,3240.752722578128,259412141935.24365,6641622.309217439,1312599508.2884173,201921.09791090872,False,False
Chad,fft,high,15.83065658,0.3645181003476939,9.64e-07,0.020558734429307952,0.1404349148,1909.8,5239.2460022653095,2320632646356.283,9090291.882717842,4592954180.910424,168682.40348830697,True,False
Chad,fft,high,15.23624805,0.3508311968960833,1.07e-06,0.01852207475687184,0.1837743309,2024.0,5769.156272039034,2570529168681.257,6904958.508221272,4213003353.181267,116132.36799347909,True,False
Chad,fft,high,16.34743683,0.3764175281493932,8.82e-07,0.022470090691443158,0.1257603406,1428.4,3794.7223314029475,576356524344.3262,7970072.39227742,2143269283.777865,205877.84773703365,False,False
Chad,physics_colI,,14.90878159,0.3432909251882383,1.14e-06,0.017384754377063914,0.1692518248,1008.005486,2936.3009973167095,93436141488.18263,3514332.350252895,573031984.0242139,118354.20659027458,False,False
Chad,physics_colI,,14.84444276,0.34180945359091847,1.15e-06,0.01723358259987206,0.1624847932,633.3336976,1852.8852579893276,9942884693.304758,2237699.465259235,149161616.24674857,122211.29529705262,False,False
